Puzzle,Solution
950080672006003180000060503040602018708000000001900057160007034584030091037490805,953184672476523189812769543345672918798315426621948357169857234584236791237491865
604000821100980300000006090002800064010064050540013907008670012060028000005431000,694357821157982346283146795372895164819764253546213987438679512761528439925431678
009040002012603007050000096008456903000300571003000680300062140000804009091500000,639745812812693457754281396178456923946328571523179684387962145265814739491537268
005003000960000400027160390389006050076310980251098604534020019008439006692081700,145973268963852471827164395389246157476315982251798634534627819718439526692581743
418050000920300008000040200009678015730504680006120074075006000302005060064010520,418952736927361458653847291249678315731594682586123974175236849392485167864719523
900706830315428769000000002030200058004081076260504013020810605600002087809630024,942756831315428769786193542137269458594381276268574913423817695651942387879635124
050840096304200708709306542072900030843501009910020600007008400006030827538070001,251847396364259718789316542672984135843561279915723684127698453496135827538472961
690200700300067000070009060000784506046015900580600100830100200401070603960000804,694231785352867491178459362219784536746315928583692147835146279421978653967523814
820070640006340285405002007060910472902837100571026803080753900200190500100008700,823571649716349285495682317368915472942837156571426893684753921237194568159268734
610308000308009751094215630067803910001960005982000000009000506150086209006090040,615378492328649751794215638567823914431967825982154367249731586153486279876592143
000600020002000006006020094053290678020040030000306045204105000000700050800000467,548619723792453816136827594453291678627548931981376245274165389369784152815932467
000600000000001276000507010540209600268400000907805021074150892182004060695302047,719628534853941276426537918541279683268413759937865421374156892182794365695382147
600005800090000300003849672001408920064201530800000040000004167200080450046097080,672315894498762315153849672731458926964271538825936741389524167217683459546197283
954063070002087654080001923897005416631000502000009380529730148008002735070500069,954263871312987654786451923897325416631874592245619387529736148468192735173548269
013068974740019600008000000409136258326095107851024000602307800004081060100002030,213568974745219683968473521479136258326895147851724396692347815534981762187652439
384000060257060340601240000000410289400700600908005004040050120020080507076032498,384571962257869341691243875735416289412798653968325714843957126129684537576132498
300040000047800006598260070410020050000010000009700201054006012000400900802500060,326147598147859326598263174413628759275914683689735241954376812761482935832591467
300040006070806020005020098020430900100070460037000582054200610010065200060700030,382149756971856324645327198526438971198572463437691582754283619813965247269714835
007000003403007020280030907140600800508400376070800004800790000900002001700041000,697258413413967528285134967149673852528419376376825194831796245964582731752341689
150004690040509130390600574000352081539080027001097305204960703760041259005020006,157234698648579132392618574476352981539186427821497365284965713763841259915723846
091056720060023000237001504320017400706930081019200000180500046000080070000004010,891456723465723198237891564328617459746935281519248637183572946654189372972364815
000007965260000007095416038036504700042070100008003540401000090000050074380942051,814237965263895417795416238136584729542679183978123546451768392629351874387942651
107000000950028640400000093096032400000107309070040508000670004600004000742005080,167493852953728641428561793596832417284157369371946528815679234639284175742315986
403210698060008070005036400007160284902870305048302019180007006000083047009641000,473215698261498573895736421357169284912874365648352719184527936526983147739641852
160002000000140600340070091901080560807000310634000920010000059006204100489351076,168932745795148632342576891921483567857629314634715928213867459576294183489351276
006070001480603072007805090602400000170902060849030010200008350000500000018047926,956274831481693572327815694632451789175982463849736215294168357763529148518347926
819057400700002501005043000037090020080001090001700043004000006906000384128300750,819657432743982561265143978637498125482531697591726843354879216976215384128364759
000504900150002438008000000000609240240010879007048560060050000900000620530020090,673584912159762438428193756815679243246315879397248561762951384981437625534826197
603000001401000070097504003908002657540701008000050400020007390005908024000420700,683279541451683972297514863918342657546791238372856419824167395765938124139425786
892031740700040009000000286058070094039005070001269803080706901000590000020010560,892631745765842319143957286258173694639485172471269853584726931316598427927314568
500200930600050748493700010000800354002000860900643000000000580009420600036500491,578214936621359748493768215167892354342175869985643127714936582859421673236587491
617000040080560200302040060005080329000020087000793100040000005031050000000010602,617932548984561273352847961765184329193625487428793156246379815831256794579418632
576090182030050067041760350000040070065820014420000638304980506690500841002400790,576394182938251467241768359183649275765823914429175638314987526697532841852416793
864050293000008657059630001000071082205060109970805406530006018008200005607009300,864157293123498657759632841346971582285364179971825436532746918498213765617589324
074365000003020067068001400002040700050030800746108000025076901019003600007000050,274365198193824567568791423832649715951237846746158239325476981419583672687912354
807504200040971003691020740300019400000652318002840679903087100160235900720190530,837564291245971863691328745386719452479652318512843679953487126164235987728196534
865070010073621050010090060659040000040230600028006540200080000081069470030050986,865473219973621854412598763659847321147235698328916547296784135581369472734152986
080006945500072836009804000003049617910680003426107580064708052108523764075061300,782316945541972836639854271853249617917685423426137589364798152198523764275461398
000925308900000657805160249010008500543009826002406001207300005054682090300004002,476925318921843657835167249619238574543719826782456931267391485154682793398574162
640501820007608400038704006061970205375080609000060731013840902850010074200000060,649531827527698413138724596461973285375182649982465731713846952856219374294357168
040000021203090065095001038026970004004060200007302050301089600000200807070004000,748536921213897465695421738126975384534168279987342156351789642469253817872614593
930100480418092000567038209109280000600945170854071090046820001085709364000564027,932157486418692735567438219179286543623945178854371692746823951285719364391564827
070084900400005030100920040900007400720019006000208091830002160007340080204000305,375684912492175638168923547981567423723419856546238791839752164657341289214896375
604319008007002090080600140340726805270030460856040273462190587735864920108205630,624319758517482396983657142349726815271538469856941273462193587735864921198275634
600000000010008020957602080300417000000020360075300000702180500090004000000056702,628541973413798625957632481386417259149825367275369148762183594591274836834956712
050008000906070318012043907030520100280010009091006035000950063000407000069000000,753198426946275318812643957637529184285314679491786235174952863328467591569831742
000080972080670410027043506301000050090006721600590300230704000709268004000009060,463185972985672413127943586341827659598436721672591348236714895759268134814359267
400000030089100000000354100090806012010000867876402059608090500007005600000600000,451928736389167245762354198593876412214539867876412359648791523937245681125683974
400210056030985070258760003601070000520800000040000008000001700000000300005098002,479213856136985274258764913681572439523849167947136528394621785862457391715398642
004000905070068210125009860300000020012007040090030000701000080548100096009006750,684721935973568214125349867357814629812697543496235178761953482548172396239486751
008030000036500281107000000600042005000100000092065000000000002210658074005070310,928431567436597281157826493681942735574183629392765148769314852213658974845279316
000753109759410036403900800140007000506140300390000010080001900070860503604092001,862753149759418236413926857148237695526149378397685412285371964971864523634592781
300704086560010403004056900670482000000509720020003648840031007000000160100000030,312794586569218473784356912671482395438569721925173648846931257253847169197625834
403000020950020030028160004009082746000009005200040301007004502091000003302600079,413895627956427138728163954139582746674319285285746391867934512591278463342651879
807405030904000520051008009105030480600570002742001365006000850038057094000846200,827495136964713528351268749195632487683574912742981365476329851238157694519846273
065000100080200400002860000008730214004100876070008003021090000000614000647582090,765943182389271465412865739958736214234159876176428953521397648893614527647582391
049130820020400763300007001810200579003050208004000306490000180001090000602000957,749136825125489763368527491816243579973651248254978316497365182581792634632814957
020531900003000681010080503300850140000002059500390000908405700000100095105908002,826531974753249681419687523392856147684712359571394268938425716247163895165978432
030004000001000500060800307080406000900010208500900000090145700000738900150620040,239574681871263594465891327782456139946317258513982476398145762624738915157629843
500060200200504100304002908006009510050076003098325004000408000803250060020607001,581963247279584136364712958736849512452176893198325674617498325843251769925637481
900012080060005924302690751006053072830120406729860035004080009281049507603070248,957412683168735924342698751416953872835127496729864135574286319281349567693571248
903240080120003095008960073000009014704816000090402000000190008000030702400607030,973245186126783495548961273862379514754816329391452867237194658619538742485627931
568000007100500000000720815600005090705209481009004070407000000910400008806012709,568941237172583964394726815641875392735269481289134576427698153913457628856312749
006004000090508200080000540070400300000200705000081090143000907068070002050040008,526914873497538216381627549879456321614293785235781694143862957968175432752349168
040920061007016358601780409826004937459372800000809000300090072072640093965207184,548923761297416358631785429826154937459372816713869245384591672172648593965237184
030050980516489007000036050180024060970800321000170809001602000092008013600307402,437251986516489237829736154183924765974865321265173849341692578792548613658317492
640300000709060004502004007007100506010000300000700020096030008150006043300001695,641397852789562134532814967927143586415628379863759421296435718158976243374281695
300062050006879401007030826803001000000004070400000203000920145010500000054710060,381462957526879431947135826873251694162394578495687213738926145619543782254718369
703000090915670430462903570570264000104005607026090050837451200000029305050036741,783542196915678432462913578578264913194385627326197854837451269641729385259836741
270015906500096000106048020302571000600402705054800132865904017907150008431007050,278315946543296871196748523382571694619432785754869132865924317927153468431687259
056003700301072400274000060030024010500367840740810500020700001197030680000490205,956143728381672459274958163638524917519367842742819536425786391197235684863491275
850010040042078010000000205300061000000420076000000090006009520000006800910005700,859312647642578913731694285327961458598423176164857392486739521275146839913285764
002803000500001076910007003053200947687439102000005000300700010821094700790312080,472863591538921476916547823153286947687439152249175368364758219821694735795312684
084053090537060810100000000002001000000000300349025000000786159005000400608090030,284153796537469812196278543752631984861947325349825671423786159975312468618594237
480200609020000000015603070047908560100002940009005027861320090090006310302090006,483217659726459138915683274247938561158762943639145827861324795594876312372591486
060008510807090260023160098030800947005300082000209000000400000000001000076900300,964728513817593264523164798231856947695347182748219635159432876382671459476985321
030700068070506000604300790840200000050000802063908104400605010090010286000892500,135729468978546321624381795841237659759164832263958174482675913597413286316892547
700030504000820009000005000306000900018000073070350802907012400601048000205003000,762139584154827369893465721326781945518294673479356812987512436631948257245673198
204000397090037800753908104409502000602183045800000601008014073000076080320005010,284651397196437852753928164419562738672183945835749621968214573541376289327895416
500081006608723514720600980070008265006000491004000000400832650382506147005400802,543981726698723514721654983179348265836275491254169378417832659382596147965417832
701946230060000000900100000010075080009610700500090060070461093104239070603580124,751946238362758419948123657416375982839612745527894361275461893184239576693587124
460000000003061000800000030091704568740158009000600714000820670000400000008576043,462387195953261487817945236291734568746158329385692714534829671679413852128576943
945007231081004000376002048000456003008000000532070410820045309000000500653900104,945687231281394657376512948719456823468231795532879416827145369194763582653928174
900403006035700408000060100000000520176000000500000004000104002864520000300900700,918453276635712498247869153483691527176245389592378614759134862864527931321986745
500000000090054201021000000000002100009630407003480965135000600070346500042000780,587129346396854271421763859764592138859631427213487965135278694978346512642915783
390081650617200049004007000050306000461908700200004000030000068720863190040510300,392481657617235849584697213958376421461928735273154986139742568725863194846519372
009681573051300298738090600302060009010008000004109782003206950100940830096803027,249681573651374298738592641382765419917428365564139782873216954125947836496853127
360000548008070020004008010659040082201006007000802006006520001840067300700380000,367291548198475623524638719659743182281956437473812956936524871842167395715389264
209805000753090800168000020490200003680030940375000002020619030500720108900350270,249865317753192864168473529491286753682537941375941682827619435536724198914358276
034682051108405302205009048487006513920701604000840079072104090010097435040560120,734682951198475362265319748487926513923751684651843279572134896816297435349568127
350704209060502003900030004193005027500320600070041000239458700010009305005600082,351784269468592173927136854193865427584327691672941538239458716816279345745613982
040203057873906402200407800028394000096100083001068920087531240634872001012040078,149283657873956412265417839728394165496125783351768924987531246634872591512649378
109000000250900680860700910091006470000040000000500009500400800070103054900058030,139862547257914683864735912391286475725349168486571329513427896678193254942658731
306100020719008036582936714000742608420569103670381002100200085897650241200810907,346175829719428536582936714931742658428569173675381492164297385897653241253814967
609347215000861000417200368020035700574000832001080000008924070000500080043608029,689347215235861947417259368826435791574196832391782456158924673962573184743618529
000790015000002040803400002230061089510980000400000060000070024024100000768000003,642798315195632748873415692237561489516984237489327561351876924924153876768249153
002030405000846079000000638834009702067008350015070094520060040300584000070392506,682937415153846279749215638834159762967428351215673894528761943396584127471392586
270050100008076903109020000010000004800500700936007080680209051050080390091600070,273954168548176923169328547715892634824563719936417285687239451452781396391645872
000703256070510080000800107000080300300400610900026005000079000000000000715230900,184793256679512483253864197567981342328457619941326875436179528892645731715238964
780400120400007398030208000000000004910080200562040000000503960697120050051890400,786439125425617398139258647873962514914785236562341789248573961697124853351896472
020008743000002905035900862340600000508023000190007300056200170010700009200016530,921568743684372915735941862347695281568123497192487356456239178813754629279816534
072501000600200050003740089000019540000057306357000000005108600006070810800034000,972581463684293751513746289268319547149857326357462198795128634436975812821634975
170068052600905040953001000090584630040000090007000010000803570805040009730206480,174368952628975143953421768291584637346712895587639214412893576865147329739256481
465320807037584001208007054000000005002870010051432680806013572500046138023058946,465321897937584261218697354384169725692875413751432689846913572579246138123758946
068900300501203896002081570076090043000032000820040057037020080080017469014805732,768954321541273896392681574176598243459732618823146957637429185285317469914865732
020003105758000064300040000040000602000870450006032000080000040600009510000010023,429763185758921364361548279847195632293876451516432798182357946634289517975614823
050400900000701008062000100003000091005017230004200850030102000200078415000050007,851463972349721568762895143623584791985617234174239856537142689296378415418956327
720800000890406000400017096670009000900002007014000000040308000160004328203960004,726893541891456273435217896672139485958642137314785962547328619169574328283961754
000300902034285100000679000006100809391420760008006410180502600509000004642000580,867314952934285176215679348456137829391428765728956413183542697579861234642793581
780090021306250490024007083090805076000020800608010234030081002061000340870004900,785493621316258497924167583293845176147326859658719234439581762561972348872634915
050200840380160007140008036000300400078000103900740600200017065500000080000456009,756293841389164527142578936615389472478625193923741658294817365561932784837456219
500040009300905007791000040075803291810204003039010060900008175600179420180002006,562741389348925617791386542475863291816294753239517864924638175653179428187452936
400500000851024703620813000009001002305008106208690400000100040182406070534700021,493567218851924763627813954769341582345278196218695437976132845182456379534789621
050020070049570060082090000030012059060000000915004000873050001601000285004061093,156423978349578162782196534437612859268935417915784326873259641691347285524861793
001720008008001097073600001006002004005000000712830006007003400209060800080215670,541729368628341597973658241896572134435196782712834956167983425259467813384215679
052801073908407502006025940690204300105739280200056407000503760071002800304908120,452891673938467512716325948697284351145739286283156497829513764571642839364978125
000500004700100950060804000900002000206438000000605300080000200002006098605001437,321569874748123956569874123934712685256438719817695342483957261172346598695281437
060035401901027683320608957203160840005840000809752010102586004037204160400301592,768935421951427683324618957273169845615843279849752316192586734537294168486371592
803740901709102003010003000051900000308000000902001607090408300430000806285016470,823745961769182543514693728651937284378264195942851637196478352437529816285316479
000000907236075481094000520060450070020038149000701065150000700600100850370500002,815264937236975481794813526961452378527638149483791265152386794649127853378549612
000016004040208076500470021080521703070639080359080060705102348000300250932805610,827916534143258976596473821684521793271639485359784162765192348418367259932845617
078400200060001900030052107021500003000093801083047529590300408840905072000024695,178439256265781934439652187921568743754293861683147529592376418846915372317824695
800003029170002003032045801090500030683090100700010084219600458008029017347051200,854163729176982543932745861491578632683294175725316984219637458568429317347851296
500000004041760000002004091400609007100020300603107020814000900069340005050000040,586913274941762853732584691428639517175428369693157428814275936269341785357896142
600090003000000080200800000061008597070640008328000416806320005100986730702500800,684195273953472681217863954461238597579641328328759416896327145145986732732514869
600705400580360900040901067070093045400617008003450010000038006006009050108500300,619725483587364921342981567271893645495617238863452719954238176736149852128576394
600007408045003007971000006504020703209000045007100829000090564090070080003040972,632917458845263197971485236584629713219738645367154829728391564496572381153846972
092001003700905162000007490906000300810006900007090086130650070060040030000000620,692481753784935162351267498926874315813526947547193286139652874268749531475318629
810430520250000300006502100970208010100703900023009407002000000731000000000080240,817436529259871364346592178974258613168743952523169487482915736731624895695387241
476090000000307020903006001107930060059060130634021590095004372740500006361079000,476192853518347629923856741187935264259468137634721598895614372742583916361279485
306107400147382965890056710784501206003900154905624380001769802029803571478205000,356197428147382965892456713784531296263978154915624387531769842629843571478215639
708643910030591000069782340015270600480360007006908020623157480891020700507839260,758643912234591876169782345915274638482365197376918524623157489891426753547839261
950467000600912735210005009002500906745306028096728000360104280500283094020000300,953467812684912735217835469832541976745396128196728543369154287571283694428679351
900420070020371056030085200700053124400610039200094000362000507149530800070000010,951426378824371956637985241796853124485612739213794685362148597149537862578269413
350148027007630154061725980000412090914503762500006418093004876745860239028097041,359148627287639154461725983876412395914583762532976418193254876745861239628397541
900460008030850067268000534594100302810000600006009040300200000000000019040097000,957463128431852967268971534594186372813724695726539841379218456682345719145697283
000100807600079140710024090060080000070600302823450960300905006256318009401060508,945136827632879145718524693169283754574691382823457961387945216256318479491762538
600000000204000071070600020547200306036000000180963400800047900000000180065108032,619752843254839671378614529547281396936475218182963457821347965793526184465198732
200800000000900002300106907030400510506010004401060089004657301652301000100240690,269875143715934862348126957937482516586719234421563789894657321652391478173248695
309420567274510390050003004000000080800209716000687050097032001006074000400000970,319428567274516398658793124762351489835249716941687253597832641126974835483165972
020358900500621008008097000070800620860003107201009803602000009700030000034000285,426358971597621348318497562973815624865243197241769853652184739789532416134976285
073926500520138670600074200008200751250810346306045000000052168102000005000380000,873926514524138679691574283948263751257819346316745892739452168182697435465381927
000014005700065090465000010000080007020000058870506001500130800003000000186207509,932714685718365492465892713354981267621473958879526341547139826293658174186247539
100300005608591003070468100500609410090015020000020060060940851054187006030006900,149372685628591743375468192582639417496715328713824569267943851954187236831256974
415927086009008000008450190700206000020000060000000032904700650087001400002649873,415927386379168245268453197743296518821375964596814732934782651687531429152649873
750102000060500703030090002302000090015809304970000108500000000847200930003460257,758132469269584713431697582382741695615829374974356128526973841847215936193468257
615084023009602050004000000000007490901008306000160500072006009840000000006000100,615784923389612754724395618268537491951248376437169582172456839843971265596823147
090005070006200308753800400860004002540630907007002840600400280085120794004007060,298345671416279358753861429869714532542638917137952846671493285385126794924587163
030905007000080936900076400400600301386020009100500680003060008004257100095010700,631945827547182936928376415452698371386721549179534682713469258864257193295813764
200009000501000037003271040070020400456083029902745008000800002700002080800350091,247539816591468237683271945178926453456183729932745168369814572715692384824357691
040031800350497200600280000500319470023806000109500000207100004814902750900740000,742631895358497261691285347586319472423876519179524638267153984814962753935748126
001052800205180040309407005000040708940070036600030000520000067710003200890720001,461352879275189643389467125132645798948271536657938412523814967716593284894726351
039648702007905000058300000000260000460080295001090360980000003000159800004030009,139648752647925138258317946795263481463781295821594367982476513376159824514832679
030009274070030060900000003103020700000873000752100300600000050008050001200400630,531689274874231965926547183183925746469873512752164398647312859398756421215498637
536490710020630895189007040290704053307060284408005071040010007073540108010002039,536498712724631895189257346291784653357169284468325971842913567973546128615872439
000148092040506308020907061056073010831400756904601280000060105095210007003005629,367148592149526378528937461256873914831492756974651283782369145695214837413785629
560180473174530009328479601000607340600040098003890000002768000790310824810900700,569182473174536289328479651981657342657243198243891567432768915796315824815924736
301000050042500080009008702073865014826941000000003000030059060004780539000004000,381427956742596183659318742973865214826941375415273698238159467164782539597634821
203000400800249730470030692010002004002690000640010020100976208000081047758023006,293167485865249731471835692319752864582694173647318529134976258926581347758423916
152000007009200000043010000406080203300000700097060810060501300081034900030800060,152498637679253148843716529416987253328145796597362814964571382281634975735829461
905704608630200050080096237009607540000103000003800700000000102108462300752301004,925734618637218459481596237819627543274153896563849721346975182198462375752381964
179503002060128370203607405007009834304801520008364700840705903050900000000006007,179543682465128379283697415617259834394871526528364791842715963756932148931486257
607001940009000150402790603064957830700000405501000720945306070000240000028579064,657831942839624157412795683264957831783162495591483726945316278376248519128579364
730050080258006107600803204021368005000005010500710000042081509160020340800534000,734152986258496137619873254421368795976245813583719462342681579165927348897534621
290506830000080020008327900009030002020700309700000084080002003460190070071850296,297546831536981427148327965619438752824765319753219684985672143462193578371854296
000870009600409082489600000960104758800765193075398006340507061008046035506231874,251873649637419582489652317963124758824765193175398426342587961718946235596231874
870000001010029000004310260200086704040950000609072500400000100503090408700004300,872645931316729845954318267235186794147953682689472513498537126563291478721864359
005201000000036000230049080050800003076002004902063100400918005508074920709020000,645281739897536412231749586154897263376152894982463157423918675568374921719625348
000000700306270050405103960260805139590010824801390005050008206610000000002761008,129456783386279451475183962267845139593617824841392675754938216618524397932761548
002300070000720490060000100100085930823497601056231000310060547200170000040950010,492316875531728496768549123174685932823497651956231784319862547285174369647953218
400610050067040080090000400621839074509004218804250390016020809902086731740193605,483612957267945183195378462621839574539764218874251396316527849952486731748193625
593140760006708253078005140067200430951300827300057016739021604002983501005406092,593142768416798253278635149867219435951364827324857916739521684642983571185476392
508601704600475200007983010060007029032000001100002370284010053351009800006308042,598621734613475298427983516865137429732594681149862375284716953351249867976358142
059360400060005070103204500500730602040652800726400150207500938600900714004173060,859367421462815379173294586598731642341652897726489153217546938635928714984173265
800200004000605089000010706003040600090001432082000001001003000308150900070894010,867239154214675389539418726153942678796581432482367591941723865328156947675894213
702006890300000600005000400050160300960050000071800060496701003037024006020603047,742316895389245671615978432854167329963452718271839564496781253137524986528693147
980407102000002390063090840730040051020070080546028709304216070000700910801954020,985437162417862395263591847738649251129375486546128739394216578652783914871954623
400072056258300104900000000700000080840006002500000410690050031000028000185693007,413872956258369174967415328739241685841536792526987413692754831374128569185693247
087000000010680970390001805170092086800007024040000000730020460928040000400318200,287954631514683972396271845173492586859167324642835719731529468928746153465318297
400000009920670000517004002105020084000000001306005200730486005002000106600300000,463258719928671543517934862195723684274869351386145297731486925842597136659312478
000005030025180470091060508000807050000003297070921804409730005257010300006598000,648275931325189476791364528962847153814653297573921864489732615257416389136598742
109432060043798502070100090390000020400003051085609473008051047710900200526307189,159432768643798512872165394391574826467823951285619473938251647714986235526347189
